conference,paper_id,doi,first_page,track,papers_with_this_track,note
27,1722,10.24928/2019/0222,809,Collaboration and Human Factors,5,
27,1723,10.24928/2019/0152,819,Information Technology in Construction,10,
27,1724,10.24928/2019/0154,831,Information Technology in Construction,10,
27,1725,10.24928/2019/0122,843,Information Technology in Construction,10,
27,1726,10.24928/2019/0250,853,Information Technology in Construction,10,
27,1727,10.24928/2019/0203,865,Information Technology in Construction,10,
27,1728,10.24928/2019/0106,877,Plenary Papers,15,
27,1729,10.24928/2019/0125,889,Plenary Papers,15,
27,1730,10.24928/2019/0191,903,Plenary Papers,15,
27,1731,10.24928/2019/0242,917,Lean Project Delivery,5,
27,1732,10.24928/2019/0176,927,Lean Project Delivery,5,
27,1733,10.24928/2019/0168,937,Lean Project Delivery,5,
27,1734,10.24928/2019/0274,949,Lean Project Delivery,5,
27,1735,10.24928/2019/0124,963,Lean Project Delivery,5,
27,1736,10.24928/2019/0145,975,Lean Implementation,5,
27,1737,10.24928/2019/0205,987,Lean Implementation,5,
27,1738,10.24928/2019/0202,999,Lean Implementation,5,
27,1739,10.24928/2019/0139,1011,Lean Implementation,5,
27,1740,10.24928/2019/0185,1023,Lean Implementation,5,
27,1741,10.24928/2019/0207,1037,Safety Management and Maturity,5,
27,1742,10.24928/2019/0141,1049,Safety Management and Maturity,5,
27,1743,10.24928/2019/0117,1059,Safety Management and Maturity,5,
27,1744,10.24928/2019/0175,1069,Safety Management and Maturity,5,
27,1745,10.24928/2019/0195,1081,Safety Management and Maturity,5,
27,1746,10.24928/2019/0142,1093,Information Technology in Construction,10,
27,1747,10.24928/2019/0220,1105,Information Technology in Construction,10,
27,1748,10.24928/2019/0150,1117,Information Technology in Construction,10,
27,1749,10.24928/2019/0167,1129,Information Technology in Construction,10,between two papers of this track
27,1750,10.24928/2019/0153,1141,Information Technology in Construction,10,
27,1751,10.24928/2019/0214,1151,Challenging the Prevailing System,5,
27,1752,10.24928/2019/0265,1163,Challenging the Prevailing System,5,between two papers of this track
27,1690,10.24928/2019/0255,1175,Challenging the Prevailing System,5,
27,1691,10.24928/2019/0187,1187,Challenging the Prevailing System,5,
27,1692,10.24928/2019/0126,1197,Challenging the Prevailing System,5,
27,1693,10.24928/2019/0231,1209,Skills and Communication,5,
27,1694,10.24928/2019/0166,1219,Skills and Communication,5,
27,1695,10.24928/2019/0182,1229,Skills and Communication,5,
27,1696,10.24928/2019/0148,1241,Skills and Communication,5,
27,1697,10.24928/2019/0206,1251,Skills and Communication,5,
27,1698,10.24928/2019/0272,1261,Thinking about Batches and Flow,5,
27,1699,10.24928/2019/0228,1271,Thinking about Batches and Flow,5,
27,1700,10.24928/2019/0121,1283,Thinking about Batches and Flow,5,
27,1701,10.24928/2019/0120,1295,Thinking about Batches and Flow,5,
27,1702,10.24928/2019/0236,1309,Thinking about Batches and Flow,5,
27,1703,10.24928/2019/0161,1321,Proposing New Approaches,5,
27,1704,10.24928/2019/0256,1333,Proposing New Approaches,5,
27,1705,10.24928/2019/0194,1345,Proposing New Approaches,5,
27,1706,10.24928/2019/0235,1357,Proposing New Approaches,5,
27,1707,10.24928/2019/0267,1369,Proposing New Approaches,5,
27,1708,10.24928/2019/0259,1381,Plenary Papers,15,
27,1709,10.24928/2019/0262,1391,Plenary Papers,15,
27,1710,10.24928/2019/0129,1401,Plenary Papers,15,
27,1711,10.24928/2019/0248,1413,Paper not Presented,7,
27,1712,10.24928/2019/0193,1425,Paper not Presented,7,
27,1713,10.24928/2019/0253,1433,Paper not Presented,7,
27,1714,10.24928/2019/0165,1445,Paper not Presented,7,
27,1715,10.24928/2019/0224,1457,Paper not Presented,7,
27,1716,10.24928/2019/0136,1469,Paper not Presented,7,
27,1717,10.24928/2019/0273,1479,Paper not Presented,7,
28,1797,10.24928/2020/0065,1,Theory,10,
28,1838,10.24928/2020/0136,13,Theory,10,
28,1839,10.24928/2020/0137,25,Theory,10,
28,1783,10.24928/2020/0044,37,Theory,10,
28,1817,10.24928/2020/0093,49,Theory,10,
28,1776,10.24928/2020/0032,61,Theory,10,
28,1799,10.24928/2020/0068,73,Theory,10,
28,1803,10.24928/2020/0072,85,Theory,10,
28,1789,10.24928/2020/0056,97,"People, Culture, and Change",24,
28,1775,10.24928/2020/0031,109,"People, Culture, and Change",24,
28,1828,10.24928/2020/0116,121,"People, Culture, and Change",24,
28,1823,10.24928/2020/0107,133,"People, Culture, and Change",24,
28,1805,10.24928/2020/0074,145,"People, Culture, and Change",24,
28,1810,10.24928/2020/0083,157,"People, Culture, and Change",24,
28,1822,10.24928/2020/0106,169,"People, Culture, and Change",24,
28,1840,10.24928/2020/0138,181,"People, Culture, and Change",24,
28,1777,10.24928/2020/0034,193,"People, Culture, and Change",24,
28,1772,10.24928/2020/0028,205,"People, Culture, and Change",24,
28,1790,10.24928/2020/0057,217,"People, Culture, and Change",24,
28,1795,10.24928/2020/0063,229,"People, Culture, and Change",24,
